Specimen,Field,FPWerneck,Sp,City,State,Lat,Lon,Maturiry,SVL,BM,BTAL,TAL,HL,HH,HW,TRL,INF,SG,PG,FL_L,FL_R,TL_L,TL_R,FTL_L,FTL_R,HUL_L,HUL_R,FAL_L,FAL_R,SFT_L,SFT_R,SFF_L,SFF_R
INPA-H044723,LRM31,FPWerneck03739,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,36.11,0.56,16.05,37.32,5.96,3.15,4.62,18.91,13.15,4.17,4.63,3.96,3.81,2.57,2.68,5.98,6.02,3.19,3.11,6.08,5.56,17,17,13,13
INPA-H044723,LRM31,FPWerneck03739,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,36.19,0.56,17.19,38.34,5.84,3.28,4.94,17.19,12.44,4.29,5.13,3.86,4.12,2.80,2.86,5.80,5.92,2.86,3.05,6.14,5.54,17,17,13,13
INPA-H044729,LRM32,FPWerneck03740,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,38.47,0.98,52.28,56.52,6.24,3.55,5.37,19.88,13.14,4.64,5.67,4.66,4.40,3.20,3.22,6.44,6.72,3.29,3.31,6.39,6.39,17,17,13,14
INPA-H044729,LRM32,FPWerneck03740,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,40.44,0.98,53.33,58.50,6.84,3.49,5.22,21.12,13.03,4.84,5.84,4.19,4.30,3.52,3.55,6.58,6.32,3.47,3.47,6.50,6.12,17,17,13,14
INPA-H044730,LRM33,FPWerneck03741,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,33.70,0.48,NA,36.29,5.35,3.03,4.44,18.27,11.16,3.92,4.04,3.81,3.82,2.26,2.47,5.32,5.89,2.65,2.66,5.52,5.47,17,17,14,13
INPA-H044730,LRM33,FPWerneck03741,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,32.32,0.48,NA,35.24,5.46,2.93,4.58,16.73,10.99,3.82,3.90,3.43,3.48,2.49,2.60,4.96,5.55,2.45,2.56,5.53,5.36,17,17,14,13
INPA-H044717,LRM34,FPWerneck03742,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,45.90,1.21,45.25,52.99,7.15,4.34,5.77,26.25,13.51,4.95,5.74,4.66,4.68,3.06,3.05,6.54,6.66,3.52,3.45,6.27,6.42,16,17,13,13
INPA-H044717,LRM34,FPWerneck03742,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,45.66,1.21,42.98,51.09,7.49,3.95,6.17,24.45,14.75,5.38,5.48,5.10,4.99,3.07,3.26,6.39,6.65,3.44,3.32,6.47,6.60,16,17,13,13
INPA-H018978,NA,NA,G_underwoodi,EEMaraca,Roraima,3.3635,-61.4348,Adult,39.33,NA,52.98,65.14,7.29,3.79,5.47,20.69,11.98,5.22,5.78,4.87,4.96,3.07,3.43,6.10,7.10,3.36,3.13,6.01,6.16,17,19,14,14
INPA-H018978,NA,NA,G_underwoodi,EEMaraca,Roraima,3.3635,-61.4348,Adult,40.00,NA,54.83,66.83,7.08,3.68,5.72,20.13,12.03,5.03,5.35,4.91,4.74,3.28,3.68,6.11,7.26,3.57,3.11,6.52,6.41,17,19,14,14
INPA-H018979,NA,NA,G_underwoodi,EEMaraca,Roraima,3.3635,-61.4348,Adult,43.01,NA,8.58,NA,7.07,4.01,5.73,23.28,12.01,5.22,5.84,4.43,4.51,3.21,3.02,6.75,6.00,3.11,3.16,6.69,6.72,17,17,14,14
INPA-H018979,NA,NA,G_underwoodi,EEMaraca,Roraima,3.3635,-61.4348,Adult,42.63,NA,8.36,NA,7.16,3.80,5.75,24.38,12.68,5.45,6.22,4.58,4.15,3.31,3.12,6.71,6.65,3.40,3.27,6.05,6.25,17,17,14,14
INPA-H018980,NA,NA,G_underwoodi,EEMaraca,Roraima,3.3635,-61.4348,Juvenile,33.95,NA,8.36,NA,5.73,3.26,4.89,17.76,10.80,4.05,4.69,4.36,4.32,2.86,2.94,6.24,6.38,2.54,2.31,5.51,5.59,18,18,15,14
INPA-H018980,NA,NA,G_underwoodi,EEMaraca,Roraima,3.3635,-61.4348,Juvenile,34.52,NA,7.68,NA,6.13,3.33,4.92,18.66,11.14,4.38,5.11,3.90,3.96,2.77,3.14,6.48,6.57,2.82,2.55,6.05,5.85,18,18,15,14
INPA-H018981,NA,NA,G_underwoodi,EEMaraca,Roraima,3.3635,-61.4348,Juvenile,31.88,NA,NA,50.16,5.88,3.29,4.83,17.57,9.84,3.99,4.67,3.23,3.59,2.41,2.56,5.84,5.52,2.88,2.82,5.49,5.43,16,17,13,14
INPA-H018981,NA,NA,G_underwoodi,EEMaraca,Roraima,3.3635,-61.4348,Juvenile,32.66,NA,NA,51.57,6.10,3.55,4.97,17.77,10.17,4.32,5.05,3.15,3.47,2.45,2.60,6.01,5.36,2.71,2.66,5.83,5.71,16,17,13,14
INPA-H031306,NA,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,40.51,NA,18.25,NA,7.05,4.23,5.03,21.94,12.48,4.94,6.04,4.87,4.43,3.71,3.53,6.95,7.02,3.55,3.23,6.41,6.30,NA,NA,14,14
INPA-H031306,NA,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,42.49,NA,19.34,NA,7.24,4.15,5.32,22.77,12.14,5.24,5.92,4.97,4.52,3.63,3.67,7.69,7.11,3.37,3.16,7.05,6.19,NA,NA,14,14
INPA-H031307,NA,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,36.21,NA,3.27,NA,5.92,2.83,4.61,17.98,11.13,4.23,4.50,4.62,3.98,2.89,2.97,5.77,NA,2.70,2.68,6.14,6.07,17,17,13,13
INPA-H031307,NA,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,35.55,NA,3.44,NA,6.14,2.94,5.00,17.04,10.82,4.37,4.87,4.71,4.16,2.77,2.79,5.58,NA,2.95,2.43,5.83,5.78,17,17,13,13
INPA-H031308,NA,NA,G_underwoodi,Manaus,Amazonas,-3.076181,-59.961819,Adult,43.82,NA,10.33,NA,7.06,3.98,5.73,26.06,12.43,5.85,6.01,4.75,4.70,3.24,3.23,6.65,7.09,3.91,3.80,6.55,6.73,NA,NA,13,13
