Specimen,State,SVL,Side,FL,TL,FTL,HUL,FAL,LFT,LFF
LRM57,Amazonas,35.13,Left,3.9,3.78,6.19,2.87,6.29,16,14
LRM57,Amazonas,36.72,Right,3.89,3.69,6.49,3.05,6.64,16,14
LRM57,Amazonas,35.13,Right,3.69,3.5,6.27,3.04,6.47,16,14
LRM58,Amazonas,39.87,Left,4.8,3.25,7.07,3.5,7.11,17,13
LRM58,Amazonas,38.93,Left,4.54,3.51,6.82,3.44,6.82,17,13
LRM58,Amazonas,39.87,Right,4.61,3.93,7.14,3.4,6.85,16,13
LRM58,Amazonas,38.93,Right,4.47,3.97,6.88,3.57,6.76,16,13
LRM59,Amazonas,36.55,Left,4.04,3.57,6.7,3.24,6.32,17,14
LRM59,Amazonas,36.22,Left,3.91,3.76,6.67,3.26,6.19,17,14
LRM59,Amazonas,36.55,Right,4.05,3.67,6.74,3.37,6.18,18,13
LRM59,Amazonas,36.22,Right,3.98,3.81,6.78,3.46,6.08,18,13
LRM60,Amazonas,35.51,Left,3.47,3.17,5.95,3.02,5.85,16,13
LRM60,Amazonas,36.63,Left,3.85,3.25,6.55,3.28,6.44,16,13
LRM60,Amazonas,35.51,Right,3.79,3.29,5.91,3,5.63,17,13
LRM60,Amazonas,36.63,Right,4.04,3.13,6.53,3.2,6.22,17,13
