"","(Intercept)","distribution","FAL_L","FL_L","FTL_L","HH","INF","s(temp, by = distribution)","SFT_L","substrate","SVL","TAL","TL_L","TRL","df","logLik","AICc","delta","weight"
"2882",0.0184154326832793,"+",NA,NA,NA,NA,NA,"+",NA,"+",0.0507942638460289,NA,-0.111279495030396,NA,11,-238.078506948527,499.827899973004,7.14101207315491,0.000751056380836015
"6092",-2.19393338848979,"+",0.777723968595389,NA,-0.603551318364889,NA,NA,"+",0.115316467436396,"+",0.059222932282333,-0.00410629724832818,NA,-0.0133709798659368,15,-233.355720907032,499.828324930948,7.14143703109914,0.000750896814101102
"3948",-0.408909152116144,"+",0.901128952403717,NA,-0.530504529031003,NA,0.034577565243902,"+",NA,"+",0.0628615189512014,-0.00439580661808501,-0.215953213730728,NA,15,-233.360810311543,499.83850373997,7.15161584012083,0.000747084904870272
"3940",-0.57643773336517,"+",0.673362059817334,NA,NA,NA,-0.0212017585264775,"+",NA,"+",0.0694868175901967,-0.00865573299549224,-0.255472812781485,NA,14,-234.567819514981,499.845316449318,7.15842854946879,0.000744544398102766
"4836",-2.29513289855931,"+",0.37488788061308,NA,NA,NA,0.25359976672261,"+",0.126182673367717,NA,0.0589088178312987,NA,NA,0.246762786157186,13,-235.756025754388,499.845384842109,7.1584969422604,0.000744518937803164
"4036",-0.837206799099956,"+",0.650788243080426,NA,NA,NA,NA,"+",0.0156812654831685,"+",0.0691343661786646,-0.00851547738023948,-0.236626826092765,NA,14,-234.568440522124,499.846558463603,7.15967056375439,0.000744082174250426
"3052",-1.89018538831742,"+",0.85512551747084,NA,-0.666038884328085,NA,0.0572020267575398,"+",0.0967072986880646,"+",0.0582949991725529,NA,-0.13614075423765,NA,15,-233.369685444778,499.856254006439,7.16936610658979,0.000740483763138095
"6776",-0.16016197233262,"+",0.554845913334179,-0.309546533082377,NA,-0.780654795126014,0.304456883906741,"+",NA,NA,0.0573086966394863,NA,-0.0618746221523645,0.373770253861477,15,-233.377446007399,499.871775131681,7.18488723183225,0.000734759433264072
"8012",-0.39691975329369,"+",0.906105066700594,NA,-0.520430333304163,NA,NA,"+",NA,"+",0.0630067670124248,-0.00460986199537998,-0.219591087320636,-0.00391361347232195,15,-233.377547364143,499.871977845168,7.18508994531942,0.000734684964214632
"866",-0.115279572623709,"+",NA,NA,NA,NA,0.0888443819611407,"+",NA,"+",0.0536578422004921,NA,NA,NA,11,-238.103519689848,499.877925455645,7.19103755579567,0.000732503399601539
"6876",-1.02971798322406,"+",0.743460229270265,NA,-0.539675061759856,-0.442026725840899,NA,"+",0.0613954934540576,NA,0.0535353053004692,NA,-0.0521731723115699,0.109905575578412,15,-233.381432247544,499.879747611971,7.19285971212253,0.00073183633566936
"2928",-0.463289656705909,"+",0.955496411795574,-0.226146293324007,-0.521606308834244,NA,0.0517715990069311,"+",NA,"+",0.0639588266768986,NA,-0.2448754492528,NA,15,-233.381608541676,499.880100200236,7.19321230038656,0.000731707328589714
"4856",-0.580914869804496,"+",0.514635322585263,-0.322443181831715,NA,-0.793413698171812,0.307630563024329,"+",0.0262950052238991,NA,0.056731154326866,NA,NA,0.374764490360487,15,-233.385712364007,499.888307844898,7.20141994504866,0.000728710684767403
"1768",-1.69696266446702,"+",0.562225542499219,-0.357489913013819,NA,NA,-0.0128636148282958,"+",0.0796136511499564,NA,0.0657982691448476,-0.00757637139419278,NA,NA,14,-234.595964479577,499.901606378508,7.21471847865894,0.000723881366506536
"5100",-2.4491446184075,"+",0.759020212556559,NA,-0.671524867696589,NA,0.155233183947287,"+",0.136245355206499,"+",0.0555064562790378,NA,NA,0.091824424490914,15,-233.392492000203,499.901867117289,7.21497921744037,0.000723787000685173
